;Aca_cat;Aeq_tet;Ana_sp;Ana_uro;Api_aga;Api_reg;Ast_bim;Bar_ste;Bat_ran;Bra_bee;Bra_bre;Bra_sp.1;Bra_sp.2;Bra_sp.3;Bra_sp.4;Bry_cau;Bry_sp.;Bun_cor;Cal_cal;Car_str;Cha_eth;Cha_sp.;Cha_zeb;Cop_arn;Cor_mel;Cor_sp;Cre_ret;Cre_sax;Cre_spi;Cur_cry;Den_epa;Den_sp.;Eig_sp.;Eig_tri;Ery_ery;Far_ama;Gla_con;Gym_gca;Gym_gco;Gym_gpa;Gym_pet;Gym_sp.;Hel_mar;Hem_bel;Hem_gei;Hem_oce;Hem_rho;Hem_rod;Hem_sp.;Hem_uni;Her_sp.;Hop_cur;Hop_mal;Hyp_ben;Hyp_het;Hyp_lep;Igu_rac;Itu_ama;Itu_sp.;Kno_vic;Lai_str;Mas_aso;Meg_pic;Meg_tho;Mel_dis;Mic_bil;Mic_poe;Mic_wei;Moe_col;Moe_com;Mon_oli;Nan_bec;Nan_nit;Nan_tae;Nan_tri;Oto_mur;Par_sp.;Phe_pec;Pim_ger;Pim_sp.;Poe_sp;Pot_eig;Pot_has;Pyr_bre;Rha_mue;Rha_que;Rha_sp.;Rin_has;Rin_sp.;Sat_jur;Ser_sp.;Ste_ama;Ste_mac;Syn_mar;Tet_wal
UA051;0;1;0;1;13;97;0;0;0;0;0;0;1;1;0;0;0;0;0;0;4;0;0;56;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;4;12;0;2;60;0;7;0;0;0;0;0;0;0;0;324;8;12;1;0;0;0;0;0;0;0;9;0;50;0;4;0;0;0;11;14;0;2;0;0;0;0;0;7;2;0;0;0;0;0;0;0;0;0;0;0
UA052;0;0;0;3;0;67;0;0;0;0;0;0;1;3;0;0;0;0;0;0;30;0;0;9;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;7;11;0;0;0;0;0;0;0;0;0;0;91;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0
UA053;0;0;0;0;0;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;29;0;0;0;0;0;0;8;0;0;0;6;1;21;0;19;0;0;0;0;0;0;0;0;0;0;0;94;0;37;0;0;0;0;0;0;0;0;3;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;8;0;0;0;0;0;0;0;0;0;0;0
UA054;0;3;0;7;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;4;1;0;0;16;0;0;0;0;0;0;0;0;0;2;0;63;0;2;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0
UA055;0;0;0;41;0;1;0;0;0;0;0;0;31;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;2;0;0;0;0;6;0;0;0;0;0;0;0;0;0;1;0;315;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;63;0;0;0;0;0;0;0;0;0;0;0
UA056;0;2;0;1;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;0;0;1;1;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;555;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0
UA057;0;1;0;31;0;10;0;0;0;26;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;4;0;462;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0
UA058;0;2;0;2;0;54;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;10;0;0;1;0;0;0;5;3;0;0;4;4;4;0;7;4;0;1;0;0;0;0;0;0;3;0;4;0;40;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
UA059;0;0;0;16;0;37;0;0;0;1;0;0;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;1;5;1;0;0;9;0;0;0;0;0;0;0;0;0;1;0;31;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;1;0;0;0;0;0;0;0;0;0;0
UA060;0;9;0;20;0;41;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;8;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;334;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0;0;0
